date,review,score
"Nov 12, 2021",Molto molto molto bello,5
"Nov 11, 2021","In my top 3 MCU movies, the Avengers is witty, tightly-paced, sharp and gripping from start to finish. Balances multiple headliner superheroes deftly in a single movie, all of the heroes being likable, unlike in ""Justice League"". Could not commend any higher.",5
"Nov 11, 2021",It's the first trial of team-up by the studio and it turned out to be a classic one. Really like this film.,4
"Oct 29, 2021",The pacing is incredibly dull but the third act is worth the watch. Arguably one of the weakest films in the MCU.,2
"Oct 19, 2021","Arguably the best MCU movie, but by far not as good as Raimi's Spider-Man  trilogy and Nolan's Batman trilogy",4.5
"Oct 14, 2021","Of the ten that I have seen so far, The Avengers is one of the poorer Marvel movies. It requires a viewing of all previous Marvel films and even at that, falls short of the other ones. Its characters aren't as likeable, the humour isn't memorable, and it is by far the most confusing; at least of the ones I've seen. I'd say it is forgettable if it didn't appear to be so prominent in the Marvel timeline.",2.5
"Oct 11, 2021",Just...no. None of these Marvel movies are any good.,0.5
"Oct 5, 2021",This was a groundbreaking movie when it first came out and still its one of the best.,5
"Oct 1, 2021","Even with Whedon's taint on the film, it still results a fantastic experience.",4.5
"Sep 28, 2021",A fantastic movie and one of the best marvel movies ever made,4.5
"Sep 21, 2021","Josh Whedon may not understand how to make a justice league movie, but he knows how to make a marvel movie. The movie have an overall great plot. The cast is as always perfect in their roles. The give us moments and oneliners that are iconic till this day. The action scenes are amazing. All the charectors feel useful and needed, right from brute strengh to a tactical overwiew of the situations the heroes are in.  It's just a must see movie.",5
"Sep 19, 2021","The 2nd best MCU film. Filled with likable characters, Joss Whedon really directed a great movie here (I wish I could say the same for Josstice League), and the best of Phase 1. Highly rewatchable, and great performances really elevate this movie. 10/10",5
"Sep 17, 2021","Avengers is an absolute blast. Exhilarating action, great characters and a witty script makes The Avengers pure fun from start to finish. RDJ as iron man as usual he owns this role. Sam Jackson as nick fury kills it here as well, and all of the cast bring their A game. The Direction from Whedon is stellar and he really does a great job in bringing together this whole cast and the action sequences are filmed really well too. Overall this is my favorite out of Phase 1 MCU The avengers is a really fun time from start to finish and makes it a must watch for comic book fans. Grade A-",4
"Sep 13, 2021","Where it all began, Marvel's The Avengers did what no other movie dared to do, having a large ensemble of heroes, a lovable villain and having an at the time original arc of having the team learn to work together. It's your average run of the mill blockbuster, but a hell of a one at that! Without a doubt this movie's greatest achievement is its all star cast and the chemistry they share, from the charismatic Robert Downey Jr, to the stoic and comedic Samuel L. Jackson, every cast member is perfect in their respective roles and the way they bounce off of each other is just remarkable! The VFX are also outstanding, most of them have aged rather well. This movie does have one glaring problem however, and that is the middle act. It's nowhere near as enjoyable as the other two, its incredibly slowly paced, and doesn't impact the plot is almost any way. All in All, Marvel's The Avengers is just phenomenal in every way. All you can do is marvel at this work of art.",4
"Sep 8, 2021",THIS movie was seriously something else some awesome scenes i  love how you get a taste of evryone vs everyone for a brief moment awesome movie 10/10,5
"Aug 31, 2021","Entertaining but there's absolutely nothing about these Marvel movies that puts them above and beyond. They are all over budgeted, over acted, over PRODUCED, and just worn out.. Marvel is nothing but clichés in cash grabs anymore— GET ORIGINAL.. I wonder who wins in the end?? Robert Downey Jr, please come back to real movies, you're so much better than this crap.",2.5
"Aug 30, 2021","Overrated. The gathering of everyone and action are breathtaking for the time, but the plot is too mainstream. Loki is definitely not as well-executed as in Thor. The pacing is unbelievably off, with both the slow parts and the battle taking way too long.",4
"Aug 29, 2021","Very good movie, but also very corny.",3.5
"Aug 25, 2021","In this epic culmination to the five films prior, you get everything from thrilling action to interesting character development. Easily, one of the greatest Marvel films of all time.",4
"Aug 25, 2021",That was fun. I enjoy Marvel's ensemble stuff the most,4
"Aug 25, 2021","#6/25
Best Moment: The novelty of meeting each other",4.5
"Aug 24, 2021",Great action and a strong story about a team coming together and Tom Hiddleston coming into his own as Loki making this one the best films in the MCU.,4
"Aug 23, 2021",*Avengers Theme Intensifies*,5
"Aug 9, 2021","80/100 GOOD movie, a Classic",4
"Jul 26, 2021","An incredible film that has all aspects it needs to create a fantastic superhero team that compels you right from the beginning and till the end of the film. It has a basic yet smart plot with surprising scenes and ideas along with one of the best soundtracks, character connections and breathtaking sequences that seem hard to bring all in 2 hours, but this film does an incredible job in entertaining you from the story, comedy and action for the entire runtime",4
"Jul 26, 2021","It was great to see Marvel bring back the original Avengers.  The movie was extra good in special effects especially the Flying Aircraft carrier. The only characters I never cared for was Hawkeye from Marvel and Green Arrow from DC, the reason why, no matter how many times they both shoot arrows, it appears as if the Arrows on their backs are always full!",4.5
"Jul 23, 2021",Smiled the entire time in the theatre.  Launched the MCU into a level it never came down from.,5
"Jul 19, 2021","The Avengers is a movie that could've easily been a mess and turned out to be a masterpiece thanks to Joss Whedon. The movie nicely culminates the five ones that came before it in the MCU and gives all of the Avengers moments to shine. The action is fantastic, the visuals raise the bar for future MCU films, and the movie ends on a high and satisfying note that leaves plenty of room for future character development and storytelling. The script gives each of the Avengers moments to show us who they are and how they fit into this broader universe. Loki is a great villain for this film due to him being a familiar face and having a direct connection to one of the Avengers, and Tom Hiddleston again gives a strong performance as the character, which is all bolstered by the script giving him a few moments to shine and one-liners as well. The acting in general is good, with both new and familiar faces doing the best they can with their roles. Renner is done a bit dirty in the film, but the big battle redeems that slightly and Renner makes the best of the screen time he has. Unlike some previous MCU movies, this one has lots of rewatch value and will still be entertaining to many on multiple viewings. Overall, The Avengers was a fantastic first culmination for the MCU and set the bar very high for future movies like it.",5
"Jul 18, 2021","One absolute amazing feature film.
Thrill,  Action, intensity,  wit, tech and an evil character that you'll love to hate.",5
"Jul 17, 2021","The movie changes aspect ratios pretty often which can be distracting.
It's a good movie that explores the meeting of the main heroes of the Infinity Saga, but I'll never understand why they all went from hating each other to suddenly fighting together so quickly.",3
"Jul 17, 2021","So a ""Lightening god"" Who takes orders from a man who is  ""extra strong"" and a man in a soup can suit._.How about the indestructible green guy? Oh wait there is a guy with arrows and a girl/Women with a me too hard on.",3.5
"Jul 16, 2021",Electric and also rapidly nostalgic. It doesn't happen that often these days where you're finding yourself wanting more. Sequels usually are the demise of a very good original. This saga gave a lot  and could of done possibly more before it's End.,5
"Jul 16, 2021",This movie came out with a BIG BANG!  Fans loved it and what really can I say about it that hadn't already been said.  Great Movie! Check it out!,5
"Jul 15, 2021","Such a fun movie, maybe not as good as later films, but the characters weren't as developed yet. The one that brought the group together and ""started"" it all though, classic.",5
"Jul 10, 2021","Awesome movie! Love the action. Surprisingly, I never once felt bored throughout the entire thing, even though the final battle is a good half hour or so, and the entire movie is pushing 2.5 hours. Other superhero franchises (if there are any left besides the DCEU) really have something to learn from this movie.",5
"Jul 7, 2021",While a fairly easy to follow and pretty good special effects I couldn't find anything special about this movie. The cinematography is nothing great and just wasn't my thing but great addition if you follow this series and part of me thinks I could have appreciated it more if it was more my thing.,3
"Jul 6, 2021","it is a pretty good movie, loki is a good villain and the first meetings of the avengers are fun to watch",3.5
"Jul 5, 2021",Straight from the comics in many ways. Absolutely brilliant! This movie was a well oiled machine.,5
"Jul 1, 2021",This was good at the time cause no one saw anything as big as this before but its lost its touch,1.5
"Jun 27, 2021","The original avengers movie was very popular and still is. Highly requested after you watch all the movies titled after the “original 6” before 2012. Compared to other MCU movies, this isn’t as good as a couple of them, since the MCU barely miss, and they definitely didn’t miss with this one. This brung one of the most popular marvel characters to this day.",4
"Jun 22, 2021","Marvel (Kevin Feige) did a great job at doing and setting up this movie. They didn't rush into it like Warner Brothers did, they took their time and waited for the perfect opportunity to make and put this movie out. I stand by every decision that was made in this movie, except anything to do with Josh Whedon. Marvel will always hold a dear spot in my heart, and this is one of the movies that I will always think about when I hear Marvel!",4
"Jun 9, 2021","A coming together of individual unique people with mind blowing capabilities, and a good story to tell while not getting too distracted by the eye candy, makes this a spectacular thrill ride you'll want to take again and again! EXCELSIOR!!",5
"Jun 3, 2021","Great movie that brought the avengers and their incredible actors together in a movie with one of marvels top villains, Loki.",5
"May 26, 2021",The Avengers was one of the best movies I've ever seen. The plot was good and interesting. Loki was the perfect villain for this movie. The avengers were put together perfectly. The score of this movie is good. The acting is perfect. There wasn't a single second that I didn't enjoy. All in all i give this movie a 5/5 stars.,5
"May 26, 2021",Hulk was the best part of the whole movie,5
"May 22, 2021",One of the best superhero movies in existance.,4.5
"May 13, 2021","This movie is not as good as everyone thinks. Sure, it gets better towards the end but the first hour is really boring. It's not just because there is a lack of action because that's not true at all. In fact within the first hour or so there are four fight/action scenes. But the way they are brought about are almost laughable. 

The movie gets good once the hulk transforms on the helicarrier. Scenes aren't lit very well and it almost looks like a episode of firefly. But it's not. It's a huge action blockbuster with a budget in access of 200 million dollars.

You can say whatever you want about Joss Weadon. Whether you love him or hate him I just don't think he's cut out for these kinds of movies.

The characters have fine chemistry but they aren't given enough time to shine either on their own or as a team. Some of the action is fine I guess but there are certain scenes where I cannot tell what's happening at all. To prove my point watch the Thor and Loki fight scene on the top of Stark Tower. 

Overall Avengers is painful for about an hour and then slightly bolster for the remainder of the run time. Would have to wait at least three years to watch this again.",2.5
"May 7, 2021","This film was really fun. This was a start of something that no one really knew that it was even possible. Just seeing all of these guys teaming up together for the first time. There are some VFX that really hold up and there are some that don't. Any way or another the characters of this movie are just fun to watch and really are good throughout the films Loki was really the most fun Marvel villain that they had until they reached Phase 3 and there were finally some good challengers. This movie was the start of something that really could've not work. But the fact that it does really goes to show how much taking your time and plan things out really help you and could do you really good favors. This was actually the first Marvel movie that I watch, and i'm pretty sure this was everyone else first time too. I don't remember it specifically but I do remember watching it at home when it came out on DVD and I think it caught my interest. I of course didn't know who any of the characters are at the time but I remember being at the very least interested. But any way this movie was great. 10/10",5
"May 7, 2021","Love it top 5 marvel movie
Ensemble that worked and didn't leave me wanting more of specific characters",4.5
"Apr 30, 2021","Unlike DC, the Marvel filmmakers know how to make a ""team"" movie and cast the characters accordingly. The nice balance of so many lead characters mixed with a ton of information and action/comedy/sci-fi is something to admire starting with the writers. With epic camera shots and outstanding VFX, this film is one hell of a start to the Avengers franchise.",4.5
"Apr 29, 2021","The film ""The Avengers"" manages to present us with a good script, although with one or two holes, it has a good costume for the time of its release, it has a good original song, the film's CGI is competent, with only a few lapses on the part of the Chitauri army, and in the end what saves the film is the final fight, which entertains the audience very well.",4.5
"Apr 29, 2021",I'm not a 12 year old child so won't fully appreciate this movie but it passed the time adequately enough.,3
"Apr 28, 2021","The Avengers was the first movie in the Marvel Cinematic Universe that I learnt about. Everyone was going crazy. Meanwhile I, who didn't know the basics of comic book superheroes, was wondering why are Superman, Batman and Spider-Man not on the cover of this movie. Just a few years ago I watched all the movies from the franchise when Infinity War came out just to know what the fuss was all about. And now that I see it, I understand why it was such a huge deal.

After the events of Thor, Loki comes on earth to steal the Tesseract from SHIELD, and he does manage to do that. Meanwhile all the superheroes are getting their own relations straight so that they can team up and fight the bad guy. All the characters are shown to be in the places where they had been at the end of their respective movies. Although what they are doing is not very interesting, it is somewhat a realistic deptiction of what kinds of characters they are. And then they all come together, beat Loki and save the day. A pretty straightforward story moved by character development.

There are a number of things I like about this movie. The scene where their airship's propeller stops working so Iron Man spins it so fast that it stabilises. It showed how strong and fast Iron Man is. There was also the scene where Iron Man goes through the portal and throws the missile away. It completely contradicts what Captain America considered him to be, showing how his character developed over the duration of the movie. I also like how Tony goes to have a word with Loki and tells him that the Avengers have a Hulk against his entire army. I mean I could literally go on about what a badass Iron Man was throughout the movie.

Then there were Thor and Hulk. I really liked Thor ever since I first heard of him. He literally looks like a Norse god capable of highly destructive powers. Hulk, on the other hand, I didn't like him very much when I heard about him. Even in The Incredible Hulk he wasn't really entertaining. But here he actually feels like a very strong guy who has been trapped in the body of Bruce Banner. He gets angry every time someone calls him Bruce instead of Hulk, which shows how much he is struggling for his identity. Thor is just as awesome as I thought him to be. I always have a soft spot for superheroes who wear a cape.

The visual effects were done really nicely. Though the impact of their powers wasn't very hard, but it's a campy movie. What can we possibly expect? It's from an era where every fight scene needed to have a comic relief who would tell jokes in the middle of the fight, be it Gimli from Lord of the Rings, Jar Jar Binks from Star Wars or Hound from Transformers. But the destruction was surely visible. Most of the shots are done from the point of view of a bystander. That is something I really like; it's literally the reason why I like Monsterverse. It is seen especially in the scene where Hulk rides the giant snake robot.

Though there are a lot of things that I didn't like about this movie. First of all, the campiness. Obviously in today's time it's quite an easy thing to dismiss saying that back in 2012 movies were meant to be campy as the superhero genre hadn't been utilised properly, but the very same year The Dark Knight Rises came and the next year Man of Steel came. Both of them had the mature touch to it. Even the MCU movies before and after this one like Thor and Captain America: The Winter Soldier looked more mature than this baby thing. The other criticism I have towards this is Black Widow and Hawkeye. I hate botht he characters, and even more I hate how they are easily beating bad guys who are clearly stronger than them.

The jump cuts of this movie are also very annoying. Every fight scene, especially the ones which have Black Widow in them, have like, a dozen scene cuts just to show that Natasha did a cartwheel, got on the bad guy's shoulders and snapped his neck. The same goes for Captain America and Hawkeye also. Not even once has Hawkeye shot anything in one take. It's something that can be easily shown even with a stunt double.

Obviously this doesn't look special anymore, since I watched it after Infinity War had released, so there wasn't much of a surprise other than the fact that it's a team up movie. It has a good place in my memory so I wouldn't want to rewatch it and tamper its reputation. It's good in its place, it's a product of its time. It should stay that way. It's a one time watch in case you haven't seen it.",4
"Apr 22, 2021","The avengers has one dope team of superhero's. while the sequences are epic as well The sequences with Thor, CA and the hulk are especially kick A and RD jr. is pretty good as iron man although I've only seen parts of iron man and not all the movies but I could tell he is good and is a bit humorous.",5
"Apr 19, 2021",Excellence...The only improvement would be to re-cast Mark Ruffalo with any other person on the planet.,4.5
"Apr 12, 2021","Nonstop entertainment, but not much in terms of highbrow stuff.",3
"Apr 10, 2021","Great climax to the first phase with the culmination of all the previous films yet without feeling like an ending to the saga. Loki is a much improved character feeling more like a villain than a whiny little kid. I'm pretty sure everyone got goosebumps when watching them stand together to the amazing theme by Alan Silvestri. The near death of Tony Stark feels touching and is done well. My only real quarrel is how it leads onto Thanos too much even though Marvel had already made plans for the next Avengers film to be Ultron. This is the main reason that Avengers: Age of Ultron had such disappointing reviews. However, that aside, this is a great movie that finally delivered what all Marvel Comic fans wanted to see.",4.5
"Apr 9, 2021",Top 3 superhero movie of all time,5
"Apr 8, 2021","The Avengers stars amazing characters Iron Man,Captain America,Thor,Hulk,Black Widow,Hawkeye and Nick Fury and they must come together to defeat Thor's evil brother Loki.Marvel managed to put so many characters into one movie and it worked perfectly well. I love this movie with it's visual effects, the action and it was great.",5
"Apr 8, 2021",The first meetup of our favorite heroes!  The conflicts between the personality and interests of the characters is interesting throughout and when they finally team up it's amazing!  A classic superhero movie for the ages!,5
"Apr 6, 2021","The character chemistry and conflict really work. The action scenes are great, especially the last big set piece and Alan Silvestri’s score elevates it all. The patient setup of the previous movies allowed this unprecedented cinematic triumph.",4.5
"Apr 2, 2021",Joss did a good job balancing out the characters with each other. The story was above average but the awesome character moments make up for that. The VFX are top notch! Howe ever this film lacks cinematography or any good action choreography. Also Captain America's suit went from cool in his solo outing to really lame in this one!,3
"Apr 1, 2021","The movie that kickstarted an entire sequence of events of universes, team ups and inspired many creators to the idea that a team up live action comic book movie isn't just a great Comic book movie, but a great movie overall!",5
"Apr 1, 2021","The only thing I can rate as a negative is the fact that Thor is a god, & should be treated as such. The fact that they think he would not finish Stark in a fight is laughable. That just tells me they are doing it for the fans & the fact that we liked RDJ.",4
"Mar 31, 2021","Saying this is a great movie is an understatement. Bringing together a great cast from wildly different movies and making it work under one cohesive narrative is a feat not many movies can pull off but the Avengers does! The acting, narrative, and action are outstanding. This is the greatest comic book movie of all time. It's a must see!",5
"Mar 30, 2021","If not for the overly saturated and at times unnecessary moments that took away from the seriousness of this film perhaps I would be more at odds against the villain. However I found myself rooting for the bad guys to win. Avengers by Joss Whedon is an overhyped film made ""great"" only by the unity of several iconic characters. Its a shame that this movie couldn't even take itself seriously",1.5
"Mar 29, 2021","AMAZING!!!

I RECOMMEND TO YOU ...",5
"Mar 26, 2021",Avengers is exactly what everyone was hoping for and more. It's the perfect conclusion to Phase 1 of this epic franchise.,5
"Mar 24, 2021","Still one of my favorite superhero movies by Marvel, or even by overall. This was an AMAZING introduction to the Avengers franchise, and I loved every second of it!",5
"Mar 23, 2021",Porquería de película,1
"Mar 20, 2021","Very good superhero movie, I mark a before and after of this. Lovable and very well developed characters, Loki as a villain is the best there is in the UCM, the long-term work brought very good results for Marvel.",3.5
"Mar 19, 2021",An overrated blob of shit that I fucking love,4
"Mar 19, 2021","Despite the avengers looking like a bunch of people doing cosplay in the most hilarious way, this movie did a pretty good job bringing this team together, although we didn't get back stories for 2 of the avengers the movie found an amazing way to cover up its errors and make it a pretty enjoyable film, comedy and cool battle scenes, the film really delivers to the audience, so I would recommend this film, I wouldn't call it a masterpiece because the shots were plain and simple",3.5
"Mar 16, 2021","Yes, Iron Man started it all and we can't be thankful enough to Jon Favreau for fighting tooth and nail for RDJ. But, before The Avengers, there were five movies, interconnected, it's true, but they were still separate, nonetheless. The average box office gross of those was 460 million (not bad, but nothing compared to present day MCU standards). And crossovers were at most ideas and desires. But then this movie came out and the film industry was never the same again. It was a game changer, a milestone and arguably the most important film (not the best, just the most important) since the original Star Wars. Now everybody wants to be like Marvel. Joss Whedon hit the mother of all jackpots with this one and he proved that it is indeed possible to do something like this.",5
"Mar 16, 2021",The Avengers (2012) is the first time we ever saw all these classic Marvel heroes assemble for the first time and it pays off in a great way. This is an instant modern classic for the superhero genre.,5
"Mar 15, 2021",did not like this movie at all . way to boring,0.5
"Mar 13, 2021","Great to see what it built up to, but very boring movie that does not hold up.",2
"Mar 8, 2021","An undeniably overrated film, it is a fantastic first ensemble superhero film.",4
"Mar 8, 2021",Only Marvel can make me cry of awesomeness! Marvel's the Avengers is one of my favorite movies! That 360 shot of the team is and always will be one of the greatest scenes in HISTORY!,5
"Mar 1, 2021","One of the best superhero movies of all time. It has it all: emotion, strong story, action, comedy. The team up of all these characters is epic and so well done. Very close to a near perfect movie",5
"Feb 28, 2021","OMG I love this film! It's goofy, amazing comic book fun that I'm down to watch any time. Everyone in this movie is a memorable, likable character with individual traits who I would watch all day (minus Hawkeye and a few side characters). The interactions these people have are just the most amazing thing. Loki is the perfect villain for this movie, he is intimidating and cheesy at the same time. But, the best part is the action. I can only describe the action as the inner 12 year old inside you jumping up and down screaming excitedly. The story is goofy and doesn't make a whole lot of scene, but The Avengers is still a great time that perfectly sets up what's to come.",4
"Feb 21, 2021","Outside of Whedon's stigma, which does linger in this movie in its own ways, The Avengers is a blast of a polarizing superhero movie. It sets up Iron Man as a true hero, while also introducing what causes his ultimate struggle. The tension in the team is palpable, and the fantastic cast make it work. Loki is such a cool villain and the special effects and jokes hold up well. A fantastic movie that is still a blast, with at least one subtle ""oh s-!"" connection to a later movie that I just noticed.",4.5
"Feb 19, 2021","Decent movie, recommendable.",4
"Feb 18, 2021","The first outing of the Marvel Cinematic Universe ensemble of super hero's sees Hawk , Black Widow , Iron Man , Hulk, Thor and Captain America work together to fight against an alien invasion led by Loki ( Thor's [adopted ] brother ) who is intent on ruling Earth. The well shot action scenes as well as quick fire wit make for a joyous viewing experience.",4
"Feb 14, 2021","La película que unió este universo cinematográfico, algo que no se había visto antes, un suceso total, ahora hablando de la película en sí, la trama es genial, los personajes son geniales, pero más que nada, llega para robarse el show otra vez, Loki",5
"Feb 12, 2021",Solid fun film. The Best CBM ever? I wouldn't go that far but it's ambitious.,3.5
"Feb 10, 2021","although I think it has some defects, I consider it a very cool film, the film has a very active rhythm that makes it easy for you to enjoy watching it several times, all the characters are developed and has a charismatic villain, and of course we have to talk that the battle in New York and the soundtrack are really cool.",4
"Feb 10, 2021",The Avengers at first when I did watch this movie I thought it was an alright movie I did not like a lot of things that happened in it but I just rewatched it and I enjoyed a lot of it u don't get bored when u watch it pretty much all the character are great but not Loki also Loki is one of my least characters I like that Nick Fury recruited the avengers in different ways that was cool also I am not a fan of bruce banner in this movie I wish we had bruce banner from The Incredible Hulk also two negatives and I think there It is a little bit too long but after that this is one of the best MCU movies made I am not  big on the MCU but this is a good movie what they brought us in 2012 the ending is the best part of the movie So all round the villain could of been better and wish that they brought back the other bruce Banner after that this movie is great so I give The Avengers a B+,4
"Feb 8, 2021",Solid first adventures movie- Great acting and script.,3.5
"Feb 6, 2021",Ossum film I really love it must watch this film. In this film all superheroes are joined and loki just blow their minds 3rd best marvel film,5
"Feb 3, 2021","""The Avengers"" is an entertaining, well acted and strongly written Marvel movie, that successfully manages to bring the avengers together as a team.",4
"Jan 30, 2021","I've been a fan of the superhero genre since I was a child. Superheroes fascinate me because they have superhuman abilities and they can accomplish amazing feats that a regular human can't. And what I like more than a movie with a superhero is a movie with multiple superheroes! I love team-ups. When I first saw this movie back in 2012, it blew my goddamned mind. The scale of it, the number of superheros, the CGI. I honestly believed this movie was the peak of superhero movies and that nothing will ever beat it. In retrospective, I was of course wrong... Fortunately.

Not only is this movie very good on its own, but the fact that there was a build-up to it from the previous movies that also established our main characters makes it even better. I watched all the other movies that lead up to The Avengers. I absolutely love the cohesion of the Marvel Cinematic Universe.",5
"Jan 23, 2021",Alot of great battles thru out the film only downfall is it wasn't filmed with a 3D camera so the effects are not very polish,4
"Jan 23, 2021",7 years later and this movie is still so much fun. It's a little slow at first but it involves a lot of the characters meeting one another but over time the movie just gets better.,5
"Jan 22, 2021",A really good action-packed movie. Feels really good seeing the Marvel heroes crossover in the big screen. Fun and very entertaining. Superb.,4
"Jan 19, 2021",An awesome fun movie with great action.,4
"Jan 16, 2021",The Avengers is a masterful culmination of Phase One of the Marvel Cinematic Universe!,5
"Jan 14, 2021","My first ever experience watching a Marvel film and although not my cup of tea, I was pleasantly surprised. Thought the film was a lot slower than I was expecting, but had some impressive battle scenes. For me, Mark Ruffalo was the stand out performer.",4
"Jan 4, 2021",A great first movie for the Avengers.,5
"Jan 2, 2021",A pretty good movie that starts off slow but gets better and better.,4
"Jan 1, 2021","The Avengers has very little story, yet I don't think that is what it needs to make it a good film. Since it is the pinnacle of Phase One of the MCU, being their first big crossover event, the character interactions, action scenes and humor make up for the weak premise.",4
"Dec 31, 2020",The avengers is a good movie but with this film it got slow and boring in the first act . The second act was bit wasteful until shield helicarrier  fight but the third act was good. This movie would have been the best if Disney never bought marvel and we would have gotten Wolverine and Spider-Man in the first film and the story would have been more action packed and more serious,3.5
"Dec 23, 2020",os vingadores de 2012 foda açao historia  maneiro,4
"Dec 22, 2020","Every Character interaction is amazing, with a smart and compelling villain (as well feels threatening) helps set up for an third act that really gives every hero a moment to shine with amazing performances from everyone.",5
"Dec 15, 2020",Now this is how to make a good crossover film. Make one solo movie and another solo movie and you make a good crossover movie.,3.5
"Dec 7, 2020",The perfect blend of action and comedy establishing the characters while finding a great way to introduce them to each other. Hiddleston's Loki is fully developed and devious. The cast chemistry was on point and hard to think how the movie could've been better,5
"Dec 1, 2020","A classic in the MCU. Marvels: The Avengers is a perfect end to phase 1. Every actor hits in this movie and it did not feel like any time was wasted. A perfect blend between the screen time of everyone. Also, the recasting of Bruce Banner sparked a new era for the character. Mark Ruffalo IS The Hulk. A beautiful ending and a post-credit scene that sets up the rest of the MCU as we know it. The CGI of Thanos in the post-credit scene was laughable, but that's ok. Grade: 98% (A+)",5
"Nov 28, 2020",Very good and funny.,5
"Nov 19, 2020","Brilliant film to bring all the characters together, the Hulk (Mark Ruffalo) being my personal favourite.",4.5
"Nov 18, 2020","The Avengers is as close as you can get to a quintessential blockbuster experience. One of the rare MCU films where the action beats feel entirely like extensions of story and character. Taking many characters and making an emotional arc and action packed expierience on paper seems like an impossible task, but what is done here is proof for the future of the MCU that the impossible can be done.",4
"Nov 5, 2020","When it was released, it was the first big crossover in Marvel Studios' MCU. Gifting us a movie filled with our favorite characters, amazing action secuences and some moments that were so epic, that we still remember them now, many years later. We see a threat that will demand the world's mightiest heroes to get reunited and fight with all their strenght to protect us.",5
"Nov 2, 2020",easily the best phase 1 MCU film and one of the best in the franchise with awesome action and is generally just awesome to see all these beloved characters team up to kick ass.,4.5
"Oct 28, 2020",Marvels the avengers pays off the first build up in the MCU with a fulfilling superhero film.,5
"Oct 27, 2020","The origin films built up to this extremely well. This is a fantastic team-up movie in every way. It's super funny, emotional, action-filled, exhilarating. Every minute of it is worth watching. Spot-on performances from everybody involved.",5
"Oct 25, 2020",A huge movie at the time the start of a great franchise completely epic movie and good humor,4
"Oct 16, 2020","This is for sure one of the best superhero movies of all time along with Superman 1978, The Dark Knight, Batman Begins, Spider-Man 2, Iron Man, Logan, Guardians of the Galaxy, Infinity War and The Winter Solider. This is a must see film for Marvel fans.",5
"Sep 3, 2020","Joss Whedon can go a little too far with his own self at times, but The Avengers successfully gave all of this madness a point and a path.",4.5
"Sep 3, 2020",Friendship & teamwork. Only one word: AMAZING!,4
"Aug 31, 2020","This movie is one of the best comic book adaptations around as it follows its source material perfectly without becoming cheesy. Great special effects and awesome CGI are the definite highlights, not to take away from the all-star cast and the characters they play. Combine all of this with a gripping story and you've got one solid film.",4.5
"Aug 29, 2020","I thought this was an awesome film. I really liked this film a lot. My 2nd favorite film of 2012 (1st being ""Skyfall"").",4.5
"Aug 27, 2020",Top notch action and adventure with great special effects! Exactly what you expect!,5
"Aug 22, 2020","The great start of the avengers francise
This movie is just awesome",5
"Aug 11, 2020",What a great movie and lots of action its blown my mind,5
"Aug 10, 2020","Compared to the early Phase 3 films, I can see why this could now feel unspectacular and like a dud to some. Still gr8, though./10",5
"Aug 9, 2020","96% ""Despite its impressive work on problematic results, ""The Avengers"" lives up to its name"".",5
"Jul 25, 2020",Best superhero movie ever!,5
"Jul 24, 2020",We didnt get to see the movie. it messed up...,5
"Jul 22, 2020","Perhaps a near perfect film: that reinvent Hollywood Action movies forever! With style, charm, exciting sequence and a smart script for the talented cast to take hold of...this first ‘Avengers’ blasts off and doesn’t fall out of the sky.",4.5
"Jul 18, 2020","An incredibly clever superhero movie that has a great mix of comedy, action, and character development. 

Final Grade: A",4.5
"Jul 13, 2020","Overrated, but still has it's moments. Good kickoff movie for the Avengers team.",3.5
"Jul 12, 2020","Without a doubt the best MCU film that’s been made, this is the making of film history. While Avengers: Endgame had more characters, and films like Frankenstein Meets the Wolfman or Frankenstein vs Dracula started the shared universe concept, this is the biggest it’s ever been. The action is amazing, the actors are great, the stakes are there, the villain is great, and the characters are great. It’s a must watch if you love the genere.",5
"Jul 11, 2020",This movie is just so much fun. It has one of two villains in the cinematic universe that has personality at the forefront.,3.5
"Jul 9, 2020",Recuerdo perfectamente cuando se estrenó. Fue una la mejor cinta de superhéroes de su tiempo.,4.5
"Jul 2, 2020",First movie you see with all these major superhero's together on one screen.,5
"Jul 2, 2020",fantastic thrill ride of a movie,4
"Jun 30, 2020","Quality Marvel story flawed heroes, cool villain, crazy technology and mega battles all in a seem less cinematic envelope.",4
"Jun 29, 2020","Awesome movie, remember when it came out to theater, that hype and ideas to see comics heros coming to the big screen has been amazing.",5
"Jun 27, 2020",Awesome film. I really liked this film a lot. My 2nd favorite film of 2012.,4.5
